task_id,method,k,n,settled_effect_error_mean,immediate_effect_error_mean,contact_mode_preservation,task_progress_preservation_005,task_progress_mae,action_reconstruction_error_mean,codebook_utilization,dead_code_ratio,clipped_coordinate_rate
bowl_on_plate,random_spd,32,192,96731.62585167354,32369.30020138473,0.8489583333333334,0.96875,0.009208125044237231,0.37542051718512,0.125,0.875,0.25
bowl_on_plate,random_spd,64,768,82949.51827525116,41110.97706601646,0.8450520833333334,0.9596354166666666,0.008204809977623503,0.3734111770699056,0.140625,0.859375,0.25
bowl_on_plate,random_spd,128,192,84443.40285763296,41184.09208312196,0.8072916666666666,0.9791666666666666,0.007176595320826039,0.3709922521542614,0.09375,0.90625,0.24739583333333334
plate_push,caaa_v2,32,192,1438.9357635486738,1010.3334434982431,0.5,0.9375,0.004839348161516414,1.0832455434979702,0.03125,0.96875,0.9856770833333334
plate_push,caaa_v2,64,768,1143.2144187016222,878.4128662060488,0.6888020833333334,1.0,0.0028049589260122775,1.0664808367804526,0.015625,0.984375,1.0
plate_push,caaa_v2,128,192,1315.2896756681132,968.743741680894,0.625,1.0,0.003276173279247601,1.0412314518452217,0.0078125,0.9921875,0.953125
plate_push,covariance_mahalanobis,32,192,567.4980608102154,514.966535902816,0.9270833333333334,1.0,0.0045280790080638265,0.16304898014188976,0.375,0.625,0.0
plate_push,covariance_mahalanobis,64,768,429.8537001721658,354.61366642095345,0.7109375,1.0,0.0017099481139629038,0.14155431375737101,0.25,0.75,0.0
plate_push,covariance_mahalanobis,128,192,627.8975300181919,501.3650491067776,0.78125,1.0,0.002542523080650849,0.15161813321443218,0.1171875,0.8828125,0.0
plate_push,euclidean_farthest,32,192,354.9382511977762,325.3842875121671,0.8072916666666666,1.0,0.0014733574852527664,0.11250826819111404,0.34375,0.65625,0.0
plate_push,euclidean_farthest,64,768,432.42828668071144,398.8771375868962,0.8111979166666666,1.0,0.001398612560081563,0.09810528427961011,0.203125,0.796875,0.0
plate_push,euclidean_farthest,128,192,402.5908033669178,330.1368255640612,0.8541666666666666,1.0,0.0013438387625524285,0.09179040228300543,0.1328125,0.8671875,0.0
plate_push,global_kmeans,32,192,420.4451802894086,349.93218262998056,0.71875,1.0,0.0015813274234919947,0.09863123196841468,0.25,0.75,0.0
plate_push,global_kmeans,64,768,360.412061440433,312.5015141112788,0.7747395833333334,1.0,0.001478654470208545,0.09465641142823189,0.203125,0.796875,0.0
plate_push,global_kmeans,128,192,393.24652502094233,313.6771153365117,0.8541666666666666,1.0,0.001426673274639514,0.09049991046026769,0.140625,0.859375,0.0
plate_push,old_diagonal_sensitivity,32,192,1371.6302762651005,918.7727363878386,0.9479166666666666,1.0,0.0028651755563545264,0.7618683105994957,0.03125,0.96875,0.5028211805555556
plate_push,old_diagonal_sensitivity,64,768,1224.5954128826536,1068.937492172532,0.5182291666666666,1.0,0.005352236369542879,0.6769585415111056,0.015625,0.984375,0.3843315972222222
plate_push,old_diagonal_sensitivity,128,192,944.2174235960646,883.9366714669401,1.0,1.0,0.004444448113138101,0.5675611352579942,0.0078125,0.9921875,0.291015625
plate_push,pca_kmeans,32,192,473.0964918295888,387.0638845494589,0.78125,1.0,0.00223362323133707,0.10045740937508672,0.3125,0.6875,0.0
plate_push,pca_kmeans,64,768,426.96636159883036,358.0446241024597,0.8489583333333334,1.0,0.0018265854044311493,0.09359268822040911,0.203125,0.796875,0.0
plate_push,pca_kmeans,128,192,423.19846898266775,331.50712782584793,0.8697916666666666,1.0,0.0017849963411735524,0.08850723451896858,0.1171875,0.8828125,0.0
plate_push,permuted_j,32,192,1284.1366608308142,1159.6687927276669,0.4375,1.0,0.004256183026015274,1.096243501144434,0.03125,0.96875,1.0
plate_push,permuted_j,64,768,1305.2290316258827,1151.6141936635968,0.4388020833333333,1.0,0.004418236291380394,1.0949172831027354,0.015625,0.984375,1.0
plate_push,permuted_j,128,192,1591.4860568975,1140.3210744438672,0.5,0.9635416666666666,0.007822485172785283,1.078429448897178,0.0078125,0.9921875,1.0
plate_push,phase_conditioned_kmeans,32,192,257.2512952808731,292.9398230902337,0.875,1.0,0.0015995578320086423,0.0985120715670912,0.109375,0.890625,0.0
plate_push,phase_conditioned_kmeans,64,768,251.14652725207222,287.47455788003305,0.87109375,1.0,0.0015417888460750584,0.09863304398199683,0.078125,0.921875,0.0
plate_push,phase_conditioned_kmeans,128,192,248.85471227671965,286.763616056506,0.875,1.0,0.0013927847418712584,0.09687477515284189,0.04296875,0.95703125,0.0
plate_push,random_spd,32,192,956.977174496093,797.08554653614,0.3854166666666667,1.0,0.0037404569450835237,0.5313580714814959,0.03125,0.96875,0.25
plate_push,random_spd,64,768,1005.6709332382501,827.5211761831747,0.4466145833333333,1.0,0.0037230285878489446,0.5438657779098834,0.015625,0.984375,0.25
plate_push,random_spd,128,192,1052.379760041452,765.2494547364713,0.4375,1.0,0.004142266428676968,0.539208208342078,0.015625,0.984375,0.2526041666666667
stove_turn_on,caaa_v2,32,192,2605.1935270602085,801.6442197736724,0.6302083333333334,0.6614583333333334,0.08050369892308529,0.6752242672610259,0.03125,0.96875,0.4223090277777778
stove_turn_on,caaa_v2,64,768,2790.8660733953816,916.1855903260315,0.6354166666666666,0.6861979166666666,0.08507542105568018,0.6827983291855625,0.015625,0.984375,0.4229058159722222
stove_turn_on,caaa_v2,128,192,2846.24972838408,967.450042648677,0.640625,0.6197916666666666,0.08802640903914229,0.6843708442774981,0.0078125,0.9921875,0.4325086805555556
stove_turn_on,covariance_mahalanobis,32,192,276.7756741775822,284.2208589926848,0.8385416666666666,0.9427083333333334,0.006922669453458311,0.07980049248895124,0.1875,0.8125,0.0
stove_turn_on,covariance_mahalanobis,64,768,522.2772567573882,352.83242107090047,0.8411458333333334,0.8463541666666666,0.01574725417712079,0.07793031847626038,0.234375,0.765625,0.0
stove_turn_on,covariance_mahalanobis,128,192,599.0021227462039,383.4705207407225,0.8020833333333334,0.9166666666666666,0.0185595028347964,0.07396039422138427,0.1484375,0.8515625,0.0
stove_turn_on,euclidean_farthest,32,192,355.8521782255303,404.07245854223675,0.8229166666666666,0.953125,0.009748958585437555,0.09523210311055606,0.1875,0.8125,0.0
stove_turn_on,euclidean_farthest,64,768,317.8582250629018,225.63393275075768,0.8802083333333334,0.9908854166666666,0.008836119113414437,0.07490451587804715,0.21875,0.78125,0.0
stove_turn_on,euclidean_farthest,128,192,309.24324594414685,302.5186420989998,0.859375,0.9895833333333334,0.008520434660108413,0.06421889987201017,0.171875,0.828125,0.0
stove_turn_on,global_kmeans,32,192,362.61335535670514,366.2801256423217,0.8125,0.96875,0.010079941519982132,0.0745553535272467,0.21875,0.78125,0.0
stove_turn_on,global_kmeans,64,768,299.8624436228355,213.33541684678508,0.8528645833333334,0.9765625,0.008055911172169751,0.07044652441238747,0.171875,0.828125,0.0
stove_turn_on,global_kmeans,128,192,310.3408013837081,233.25929919727562,0.8385416666666666,0.9791666666666666,0.008853545994806313,0.06432865339866484,0.1328125,0.8671875,0.0
stove_turn_on,old_diagonal_sensitivity,32,192,3212.592765889073,2740.8391174995577,0.765625,0.75,0.10238770919582225,0.6682918517991466,0.03125,0.96875,0.3216145833333333
stove_turn_on,old_diagonal_sensitivity,64,768,1600.78820277937,1236.5172393554562,0.7083333333333334,0.7513020833333334,0.04984635822953498,0.5389285421949457,0.015625,0.984375,0.2610134548611111
stove_turn_on,old_diagonal_sensitivity,128,192,1692.2482596748257,1548.458544356575,0.9270833333333334,0.7864583333333334,0.05432638882592928,0.49427258512079214,0.0078125,0.9921875,0.1948784722222222
stove_turn_on,pca_kmeans,32,192,378.7685103151566,378.94329514894474,0.8125,0.96875,0.011414753236769002,0.07025000790194487,0.21875,0.78125,0.0
stove_turn_on,pca_kmeans,64,768,364.29659414664576,367.82455868159246,0.84375,0.9817708333333334,0.010654599134333713,0.06582515969098356,0.1875,0.8125,0.0
stove_turn_on,pca_kmeans,128,192,339.5065789138164,365.302304503055,0.84375,1.0,0.009276052136219402,0.05995343383182044,0.15625,0.84375,0.0
stove_turn_on,permuted_j,32,192,4191.344184887758,2426.6862571374536,0.5416666666666666,0.5,0.1313013376696858,1.032074899462238,0.03125,0.96875,0.9947916666666666
stove_turn_on,permuted_j,64,768,4902.660666982297,2557.616392633003,0.52734375,0.5,0.1444675744816188,1.0264422068936272,0.015625,0.984375,0.9609375
stove_turn_on,permuted_j,128,192,4087.8328586278603,1852.2272464455816,0.59375,0.5625,0.11487839867736617,1.0504935759895524,0.015625,0.984375,0.9869791666666666
stove_turn_on,phase_conditioned_kmeans,32,192,300.55577417807984,246.45384415680292,0.8385416666666666,0.9375,0.008384454638889293,0.06947693441354802,0.1171875,0.8828125,0.0
stove_turn_on,phase_conditioned_kmeans,64,768,315.49551729961996,273.0565368880261,0.8372395833333334,0.9231770833333334,0.009243891716519065,0.06863978953383669,0.08984375,0.91015625,0.0
stove_turn_on,phase_conditioned_kmeans,128,192,291.8062643438554,283.4996018719696,0.8229166666666666,0.9427083333333334,0.007578016588334412,0.06740509658531792,0.05859375,0.94140625,0.0
stove_turn_on,random_spd,32,192,3653.460579939525,1165.6331548697751,0.78125,0.375,0.11442636116210923,1.0078931093676138,0.03125,0.96875,0.9947916666666666
stove_turn_on,random_spd,64,768,3544.3467796542877,1190.7958653785863,0.71484375,0.4388020833333333,0.1010160861893617,1.0096479259123383,0.015625,0.984375,0.9947374131944444
stove_turn_on,random_spd,128,192,4113.60965753763,2000.1271013527269,0.8958333333333334,0.4114583333333333,0.1284907888986018,1.001727182393944,0.015625,0.984375,0.9895833333333334
wine_rack,caaa_v2,32,192,250559.72930505767,204534.0450817572,0.7447916666666666,0.8229166666666666,0.042939010184950575,0.5804529700222503,0.1875,0.8125,0.40625
wine_rack,caaa_v2,64,768,254794.97201470193,290173.786945524,0.7747395833333334,0.8359375,0.035675084775359134,0.5505534760522343,0.125,0.875,0.3752712673611111
wine_rack,caaa_v2,128,192,220504.34287118912,214822.09768476777,0.7916666666666666,0.8333333333333334,0.03490306726721216,0.5486117950338786,0.046875,0.953125,0.3661024305555556
wine_rack,covariance_mahalanobis,32,192,192278.79090998435,234644.9956388981,0.84375,0.9583333333333334,0.01690156021984691,0.06700899599065567,0.15625,0.84375,0.0
wine_rack,covariance_mahalanobis,64,768,200979.10186568854,356553.6677457139,0.8385416666666666,0.9557291666666666,0.017455965089898943,0.06053241020281209,0.140625,0.859375,0.0
wine_rack,covariance_mahalanobis,128,192,218629.6029685403,301027.9541360881,0.8333333333333334,0.9583333333333334,0.016441109153210298,0.05900453423914306,0.140625,0.859375,0.0
wine_rack,euclidean_farthest,32,192,216824.9242691527,396503.3900554457,0.8333333333333334,0.9583333333333334,0.017886446444087992,0.10645465057696613,0.125,0.875,0.0
wine_rack,euclidean_farthest,64,768,213927.14857585236,439232.8347989209,0.8971354166666666,0.95703125,0.017431863394839084,0.06871952105902762,0.203125,0.796875,0.0
