task_id,phase,method,k,n,settled_effect_error_mean,immediate_effect_error_mean,contact_mode_preservation,task_progress_preservation_005,task_progress_mae,action_reconstruction_error_mean,codebook_utilization,dead_code_ratio,clipped_coordinate_rate
plate_push,free_space,pca_kmeans,32,48,32.63226795241926,15.8469799849209,1.0,1.0,0.0,0.048534508633481875,0.03125,0.96875,0.0
plate_push,free_space,pca_kmeans,64,192,24.48749818387817,14.146623386297739,1.0,1.0,0.0,0.035463286745840886,0.03125,0.96875,0.0
plate_push,free_space,pca_kmeans,128,48,20.009576901424484,9.29127648228681,1.0,1.0,0.0,0.028392393684433238,0.03125,0.96875,0.0
plate_push,free_space,permuted_j,32,48,221.33451477808157,307.63119199038755,1.0,1.0,0.0,1.0679920112071308,0.03125,0.96875,1.0
plate_push,free_space,permuted_j,64,192,221.44196530997647,307.6354164459844,1.0,1.0,0.0,1.0679902277401803,0.015625,0.984375,1.0
plate_push,free_space,permuted_j,128,48,221.33451477808157,307.63119199038755,1.0,1.0,0.0,1.0679920112071308,0.0078125,0.9921875,1.0
plate_push,free_space,phase_conditioned_kmeans,32,48,16.64859259930554,8.77938028180178,1.0,1.0,0.0,0.026870805192761138,0.125,0.875,0.0
plate_push,free_space,phase_conditioned_kmeans,64,192,17.25198157551279,9.042263177247252,1.0,1.0,0.0,0.027564314655708622,0.09375,0.90625,0.0
plate_push,free_space,phase_conditioned_kmeans,128,48,16.17327264997443,8.473220795729913,1.0,1.0,0.0,0.02545152748997695,0.046875,0.953125,0.0
plate_push,free_space,random_spd,32,48,768.5722608154174,439.36099441880265,1.0,1.0,0.0,1.1406825460745857,0.03125,0.96875,1.0
plate_push,free_space,random_spd,64,192,841.9020623769978,511.7222568249081,1.0,1.0,0.0,1.1545661443450712,0.015625,0.984375,1.0
plate_push,free_space,random_spd,128,48,581.2713695464399,355.02969955491295,1.0,1.0,0.0,1.029459989911534,0.0078125,0.9921875,1.0
plate_push,post_contact,caaa_v2,32,48,2374.9587092317033,1576.9411599610673,0.5,0.75,0.018543305973164653,1.1232826647119276,0.03125,0.96875,0.9791666666666666
plate_push,post_contact,caaa_v2,64,192,2032.792880774951,1441.7559590622552,0.5,1.0,0.009958415349007918,1.1138821184239729,0.015625,0.984375,1.0
plate_push,post_contact,caaa_v2,128,48,1693.4595167965651,1281.200295844407,0.25,1.0,0.009476834445562618,1.0878849814286615,0.0078125,0.9921875,0.9583333333333334
plate_push,post_contact,covariance_mahalanobis,32,48,1749.8301636360775,1544.320976229498,1.0,1.0,0.017928653223466057,0.3058457619586883,0.15625,0.84375,0.0
plate_push,post_contact,covariance_mahalanobis,64,192,1151.2515844671718,935.2799298329077,0.5885416666666666,1.0,0.006640510212889462,0.18406581206251868,0.09375,0.90625,0.0
plate_push,post_contact,covariance_mahalanobis,128,48,1567.328314731205,1268.050981909332,0.625,1.0,0.009877476343533205,0.21977379614116552,0.0546875,0.9453125,0.0
plate_push,post_contact,euclidean_farthest,32,48,671.7966445876922,745.4858316190254,0.75,1.0,0.005633780647848745,0.12076221600769133,0.09375,0.90625,0.0
plate_push,post_contact,euclidean_farthest,64,192,1183.1733122942314,1192.5049339147806,0.5,1.0,0.005474524692989271,0.1334199146425478,0.0625,0.9375,0.0
plate_push,post_contact,euclidean_farthest,128,48,1053.1478203584672,930.8334070233458,0.6666666666666666,1.0,0.005271810607227696,0.12932723283883235,0.046875,0.953125,0.0
plate_push,post_contact,global_kmeans,32,48,1215.6951384900235,945.3271504304681,0.625,1.0,0.006177076293421353,0.13539227086105918,0.0625,0.9375,0.0
plate_push,post_contact,global_kmeans,64,192,1083.8948518014486,871.8413059013261,0.59375,1.0,0.005818816541359667,0.126745447208532,0.0625,0.9375,0.0
plate_push,post_contact,global_kmeans,128,48,1068.5728138885263,872.0185283203077,0.6666666666666666,1.0,0.00559452841145714,0.12621664751486078,0.0390625,0.9609375,0.0
plate_push,post_contact,old_diagonal_sensitivity,32,48,1140.2657842398405,944.4299135460014,0.7916666666666666,1.0,0.007551465648098094,0.5484496307921453,0.03125,0.96875,0.03125
plate_push,post_contact,old_diagonal_sensitivity,64,192,2111.5188731250096,2120.430334206105,0.06770833333333333,1.0,0.01887185774988261,0.4288416614893232,0.015625,0.984375,0.0
plate_push,post_contact,old_diagonal_sensitivity,128,48,1879.552644743061,1634.6099851974266,1.0,1.0,0.01633057941049638,0.419066867885267,0.0078125,0.9921875,0.0
plate_push,post_contact,pca_kmeans,32,48,1542.4526029219178,1116.1206394395192,0.625,1.0,0.00884298028148262,0.13480152714513594,0.09375,0.90625,0.0
plate_push,post_contact,pca_kmeans,64,192,1286.5523046286262,1041.8154923131842,0.6510416666666666,1.0,0.007150711846956368,0.1304557904030342,0.046875,0.953125,0.0
plate_push,post_contact,pca_kmeans,128,48,1260.881399135744,943.4089697237645,0.7291666666666666,1.0,0.006994213002315962,0.12692894171999533,0.03125,0.96875,0.0
plate_push,post_contact,permuted_j,32,48,2388.4972209459265,2349.9288746783027,0.5,1.0,0.015186677421431155,1.15519508810015,0.03125,0.96875,1.0
plate_push,post_contact,permuted_j,64,192,2389.44728810954,2350.231895639317,0.5,1.0,0.01517453081120014,1.1551950049045139,0.015625,0.984375,1.0
plate_push,post_contact,permuted_j,128,48,2621.594487815349,2468.571735517039,0.25,0.8541666666666666,0.025728698917585707,1.1436300421749117,0.0078125,0.9921875,1.0
plate_push,post_contact,phase_conditioned_kmeans,32,48,621.2751080747724,699.3123408859179,1.0,1.0,0.0062356755594043314,0.1349846073426768,0.09375,0.90625,0.0
plate_push,post_contact,phase_conditioned_kmeans,64,192,594.4093436679905,675.7538051060211,1.0,1.0,0.006010881803474137,0.13498137750940545,0.0625,0.9375,0.0
plate_push,post_contact,phase_conditioned_kmeans,128,48,628.5274060775433,686.7579049195674,1.0,1.0,0.00543730432857627,0.1346267053431652,0.03125,0.96875,0.0
plate_push,post_contact,random_spd,32,48,1933.7714654299036,1702.0342513242394,0.2916666666666667,1.0,0.014243339034490819,0.3821362086851337,0.03125,0.96875,0.0
plate_push,post_contact,random_spd,64,192,1923.719416647884,1707.2473043074222,0.53125,1.0,0.014210103938360724,0.3839108989468502,0.015625,0.984375,0.0
plate_push,post_contact,random_spd,128,48,1926.7135582641974,1701.1322324034734,0.25,1.0,0.014481780314542664,0.393109634107061,0.015625,0.984375,0.0
plate_push,pre_contact,caaa_v2,32,48,1440.7389739019015,496.5528474496652,0.5,1.0,0.00012597133178919473,1.0414664805059033,0.03125,0.96875,0.9791666666666666
plate_push,pre_contact,caaa_v2,64,192,652.0769287607641,542.9532185379885,0.2552083333333333,1.0,0.00031859395488367885,1.079820603688277,0.015625,0.984375,1.0
plate_push,pre_contact,caaa_v2,128,48,822.97429818218,768.8077264527388,0.5,1.0,0.0005615720801749165,0.9873683510911686,0.0078125,0.9921875,0.90625
plate_push,pre_contact,covariance_mahalanobis,32,48,155.31829348645078,204.99002415815372,0.7083333333333334,1.0,6.332055501682265e-05,0.13543442825652474,0.09375,0.90625,0.0
plate_push,pre_contact,covariance_mahalanobis,64,192,173.63625002816534,227.06331721500018,0.2552083333333333,1.0,5.7194559686380264e-05,0.19706733919118868,0.09375,0.90625,0.0
plate_push,pre_contact,covariance_mahalanobis,128,48,164.98485022456902,220.03117625324316,0.5,1.0,6.656558656005995e-05,0.16492411046104108,0.03125,0.96875,0.0
