action_reconstruction_rmse,atlas_size,balanced_task_effect_error,candidate_distance_spearman,clipped,code_perplexity,contact_mode_preserved,context_modulation_norm,error_group_contact_mode_and_penetration,error_group_gripper_and_articulation,error_group_object_pose,error_group_task_progress_and_constraint,error_group_tcp_object_relative_pose,inference_latency_ms,intervention,kendall_tau,level,method,metric_condition_number,n,ndcg_at_16,normalized_code_utilization,object_pose_error,oracle_neighbor_recall_at_1,oracle_neighbor_recall_at_8,oracle_regret,pairwise_accuracy,phase,row_type,selected_code_change_fraction,task_id,task_progress_abs_error,tcp_object_relative_pose_error,unique_codes,valid_bank_size
,,,-0.0232650529693,,,,6.04600701332,,,,,,0.00564240101792,,-0.00107010856306,task,CONTROL_CONSEQUENCE_LABEL_SHUFFLED__K64,12.6192058086,3840,0.52010165081,,,0.114322916667,0.20341796875,0.173152677074,0.499464945718,ALL,,,stove_turn_on,,,,
,,,-0.0338173696551,,,,6.02290853262,,,,,,0.00564240101792,,-0.00793673348546,task,CONTROL_CONSEQUENCE_LABEL_SHUFFLED__K64,12.6706341267,3840,0.527277647633,,,0.12265625,0.20166015625,0.24213917616,0.496031633257,ALL,,,wine_rack,,,,
,,,-0.0377174277851,,,,5.89562761784,,,,,,0.00564240101792,,0.0178801226948,phase,CONTROL_CONSEQUENCE_LABEL_SHUFFLED__K64,12.6936975718,3840,0.868098723559,,,0.194010416667,0.274641927083,0.00905593868383,0.508940061347,free_space,,,ALL,,,,
,,,-0.0192066462089,,,,5.88653091192,,,,,,0.00564240101792,,-0.00576144830835,phase,CONTROL_CONSEQUENCE_LABEL_SHUFFLED__K64,12.6614035606,3840,0.377321654463,,,0.0901041666667,0.172233072917,0.294518055786,0.497119275846,pre_contact,,,ALL,,,,
,,,-0.0130323332923,,,,6.06481571198,,,,,,0.00564240101792,,0.000279766547266,phase,CONTROL_CONSEQUENCE_LABEL_SHUFFLED__K64,12.594536376,3840,0.392222784587,,,0.0955729166667,0.175944010417,0.262988019184,0.500139883274,contact_onset,,,ALL,,,,
,,,0.00872043883523,,,,6.05802364349,,,,,,0.00564240101792,,0.0148331757966,phase,CONTROL_CONSEQUENCE_LABEL_SHUFFLED__K64,12.5844563007,3840,0.389979175399,,,0.09375,0.188899739583,0.286327609842,0.507416587898,post_contact,,,ALL,,,,
,,,0.636433848011,,,,5.9359082371,,,,,,0.00295104826414,,0.488540758115,pooled,CONTROL_CONTEXT_SHUFFLED__FULL,12.5980481088,15360,0.610468740645,,,0.2087890625,0.365128580729,0.186977460867,0.744270379057,ALL,,,ALL,,,,
,,,0.596948871542,,,,6.00478625298,,,,,,0.00295104826414,,0.457822128649,task,CONTROL_CONTEXT_SHUFFLED__FULL,12.60756917,3840,0.584307637404,,,0.210677083333,0.353938802083,0.208916162595,0.728911064325,ALL,,,bowl_on_plate,,,,
,,,0.682953905734,,,,5.71718089581,,,,,,0.00295104826414,,0.535132435379,task,CONTROL_CONTEXT_SHUFFLED__FULL,12.5967999458,3840,0.584041542945,,,0.19765625,0.361328125,0.179683501311,0.767566217689,ALL,,,plate_push,,,,
,,,0.655441571875,,,,6.01865563393,,,,,,0.00295104826414,,0.494916404724,task,CONTROL_CONTEXT_SHUFFLED__FULL,12.5895783663,3840,0.650421118997,,,0.215625,0.3755859375,0.136987695131,0.747458202362,ALL,,,stove_turn_on,,,,
