action_reconstruction_rmse,atlas_size,balanced_task_effect_error,clipped,code_perplexity,contact_mode_preserved,error_group_contact_mode_and_penetration,error_group_gripper_and_articulation,error_group_object_pose,error_group_task_progress_and_constraint,error_group_tcp_object_relative_pose,inference_latency_ms,level,method,n,normalized_code_utilization,object_pose_error,phase,task_id,task_progress_abs_error,tcp_object_relative_pose_error,unique_codes,valid_bank_size
0.0199904289455,64,0.485120918889,0,18.776592327,0.919270833333,1.1313753667,0.213587188113,0.481911451728,0.08234504754,0.516385540357,0.00894824250963,task,B2_STATIC_CONSEQUENCE__K64,1536,0.293384255109,0.481911451728,ALL,bowl_on_plate,0.00351794792632,0.516385540357,75,128
0.0196876114061,64,0.244206276408,0,19.3324707102,0.981770833333,1.0549220448,0.0441848038164,0.0577425793884,0.000683714271989,0.0634982397618,0.00894824250963,task,B2_STATIC_CONSEQUENCE__K64,1536,0.302069854847,0.0577425793884,ALL,plate_push,0.000138066778743,0.0634982397618,71,128
0.0200436211989,64,0.205332026319,0,19.3429421828,0.972005208333,0.248458907405,0.561476150621,0,0.12222689086,0.0944981827104,0.00894824250963,task,B2_STATIC_CONSEQUENCE__K64,1536,0.302233471606,0,ALL,stove_turn_on,0.00163055218393,0.0944981827104,72,128
0.0199695975031,64,0.196229311253,0,18.8862089172,0.970052083333,0.444888279762,0.0876822097273,0.183868528669,0.044695027166,0.220012510939,0.00894824250963,task,B2_STATIC_CONSEQUENCE__K64,1536,0.295097014332,0.183868528669,ALL,wine_rack,0.00805248278388,0.220012510939,71,128
0.0200858420768,64,0.0251338399325,0,19.1138285085,1,0,7.04163036177e-08,1.53389406266e-29,3.00926553811e-31,0.125669129246,0.00894824250963,phase,B2_STATIC_CONSEQUENCE__K64,1536,0.298653570446,1.53389406266e-29,free_space,ALL,1.08420217249e-18,0.125669129246,66,128
0.0197715659512,64,0.412333979088,0,18.5950734577,0.860026041667,1.13976861101,0.247297897459,0.263922855079,0.0903241561437,0.320356375744,0.00894824250963,phase,B2_STATIC_CONSEQUENCE__K64,1536,0.290548022777,0.263922855079,pre_contact,ALL,0.000936697783479,0.320356375744,73,128
0.0200181782631,64,0.387041723311,0,19.1242936881,0.983072916667,1.04087948929,0.332775543329,0.269366984017,0.0318154977976,0.260371102118,0.00894824250963,phase,B2_STATIC_CONSEQUENCE__K64,1536,0.298817088877,0.269366984017,contact_onset,ALL,0.000976866317456,0.260371102118,74,128
0.0198156727626,64,0.306378990537,0,19.5050184828,1,0.698996498366,0.326856841073,0.190232720689,0.127811025896,0.18799786666,0.00894824250963,phase,B2_STATIC_CONSEQUENCE__K64,1536,0.304765913794,0.190232720689,post_contact,ALL,0.0114254855719,0.18799786666,76,128
0.014523197109,128,0.322053860793,0,26.598407595,0.957682291667,0.758443147659,0.317137198274,0.196869493996,0.0788678850567,0.258951578978,0.00818850282435,pooled,CONTROL_ACTION_ONLY__FULL,6144,0.207800059336,0.196869493996,ALL,ALL,0.00397144907589,0.258951578978,37,128
0.0145282964154,128,0.522898235016,0,26.5228341963,0.907552083333,1.16880008743,0.291390851046,0.502189385588,0.0827440422039,0.569366808816,0.00818850282435,task,CONTROL_ACTION_ONLY__FULL,1536,0.207209642159,0.502189385588,ALL,bowl_on_plate,0.00356432603296,0.569366808816,36,128
0.0145269245881,128,0.274949656778,0,26.7211596103,0.981770833333,1.12479792985,0.0717775577794,0.0809025438296,0.000617869932276,0.096652382495,0.00818850282435,task,CONTROL_ACTION_ONLY__FULL,1536,0.208759059456,0.0809025438296,ALL,plate_push,0.000131016412687,0.096652382495,36,128
0.0145165519673,128,0.281214578841,0,26.7655910508,0.9765625,0.272271770986,0.818600242084,0,0.180755811322,0.13444506981,0.00818850282435,task,CONTROL_ACTION_ONLY__FULL,1536,0.209106180084,0,ALL,stove_turn_on,0.00290785389216,0.13444506981,37,128
0.014521015465,128,0.209152972536,0,26.3840455225,0.96484375,0.467902802367,0.0867801421884,0.204386046565,0.0513538167687,0.235342054793,0.00818850282435,task,CONTROL_ACTION_ONLY__FULL,1536,0.206125355645,0.204386046565,ALL,wine_rack,0.00928259996575,0.235342054793,36,128
0.0145290859342,128,0.0418645887596,0,26.5523690619,1,0,4.68147523855e-08,1.44267604263e-29,1.20370621524e-31,0.209322896983,0.00818850282435,phase,CONTROL_ACTION_ONLY__FULL,1536,0.207440383296,1.44267604263e-29,free_space,ALL,4.33680868994e-19,0.209322896983,36,128
0.0145229964564,128,0.455298837267,0,26.6342852512,0.847005208333,1.24040663803,0.301269064289,0.278011567763,0.111127961562,0.345678954689,0.00818850282435,phase,CONTROL_ACTION_ONLY__FULL,1536,0.208080353525,0.278011567763,pre_contact,ALL,0.00101219956785,0.345678954689,36,128
0.0145167644935,128,0.41036390282,0,26.5949963523,0.983723958333,1.04589566258,0.401848083146,0.307068883499,0.0232915355139,0.273715349363,0.00818850282435,phase,CONTROL_ACTION_ONLY__FULL,1536,0.207773409003,0.307068883499,contact_onset,ALL,0.00108101055339,0.273715349363,36,128
0.0145239415518,128,0.380688114325,0,26.6119797145,1,0.747470290026,0.565431598848,0.202397524721,0.181052043151,0.207089114878,0.00818850282435,phase,CONTROL_ACTION_ONLY__FULL,1536,0.207906091519,0.202397524721,post_contact,ALL,0.0137925861823,0.207089114878,37,128
0.0163557269637,64,0.341745075141,0,10.5594522009,0.95458984375,0.794868887425,0.329366194211,0.214510628225,0.0836891368892,0.286290528955,0.00818850282435,pooled,CONTROL_ACTION_ONLY__K64,6144,0.16499144064,0.214510628225,ALL,ALL,0.00438374461782,0.286290528955,53,128
