action_reconstruction_rmse,balanced_task_effect_error,contact_mode_preserved,direction_family_id,error_group_contact_mode_and_penetration,error_group_gripper_and_articulation,error_group_object_pose,error_group_task_progress_and_constraint,error_group_tcp_object_relative_pose,level,mean_atlas_size,mean_valid_bank_size,method,n,object_pose_error,phase,row_type,task_id,task_progress_abs_error,tcp_object_relative_pose_error
0.0251022956848,0.56696573694,0.94189453125,1,0.955437450736,0.602278732469,0.433438478484,0.173120735073,0.670553287938,direction_family,128,128,O_STATIC_FULL,2048,0.433438478484,ALL,summary,ALL,0.0063290438762,0.670553287938
0.021397647118,0.352109002648,0.9501953125,2,0.805392246232,0.318898876989,0.236263811992,0.0744482710674,0.325541806961,direction_family,128,128,O_STATIC_FULL,2048,0.236263811992,ALL,summary,ALL,0.00384674424369,0.325541806961
0.0235129438968,0.449734777676,0.942545572917,ALL,0.879156678751,0.446241643395,0.325081070251,0.119351096531,0.47884339945,pooled,128,128,O_CONTACT_FULL,6144,0.325081070251,ALL,summary,ALL,0.00476218450961,0.47884339945
0.0235129438968,0.697535870822,0.879557291667,ALL,1.35021644976,0.462443967536,0.704455857015,0.107952585581,0.862610494221,task,128,128,O_CONTACT_FULL,1536,0.704455857015,ALL,summary,bowl_on_plate,0.00428530645409,0.862610494221
0.0235129438968,0.389162821756,0.973958333333,ALL,1.29050802279,0.177165481557,0.229764765503,0.00207038311614,0.246305455815,task,128,128,O_CONTACT_FULL,1536,0.229764765503,ALL,summary,plate_push,0.000219086201836,0.246305455815
0.0235129438968,0.403238674419,0.954427083333,ALL,0.348791225506,0.998356227904,0,0.307911087976,0.361134830709,task,128,128,O_CONTACT_FULL,1536,0,ALL,summary,stove_turn_on,0.0049169694228,0.361134830709
0.0235129438968,0.309001743706,0.962239583333,ALL,0.527111016954,0.147000896581,0.366103658487,0.0594703294523,0.445322817057,task,128,128,O_CONTACT_FULL,1536,0.366103658487,ALL,summary,wine_rack,0.00962737595972,0.445322817057
0.0231128845605,0.110051547498,1,ALL,0,1.64867490798e-07,1.33205617614e-29,1.80555932286e-31,0.55025757262,phase,128,128,O_CONTACT_FULL,1536,1.33205617614e-29,free_space,summary,ALL,6.50521303491e-19,0.55025757262
0.0231128845605,0.596281278687,0.789713541667,ALL,1.42538532956,0.460836145757,0.395456853911,0.131793799791,0.567934264416,phase,128,128,O_CONTACT_FULL,1536,0.395456853911,pre_contact,summary,ALL,0.00139399470474,0.567934264416
0.023913003233,0.550126636138,0.98046875,ALL,1.21162462269,0.575703160475,0.505411481806,0.0497801438075,0.408113771911,phase,128,128,O_CONTACT_FULL,1536,0.505411481806,contact_onset,summary,ALL,0.00164031992548,0.408113771911
0.023913003233,0.54247964838,1,ALL,0.879616762753,0.748427102479,0.399455945288,0.295830442528,0.389067988854,phase,128,128,O_CONTACT_FULL,1536,0.399455945288,post_contact,summary,ALL,0.0160144234082,0.389067988854
0.0235253846518,0.412376297464,0.93701171875,0,0.858942002439,0.389061542993,0.289389927316,0.0917301391238,0.43275787545,direction_family,128,128,O_CONTACT_FULL,2048,0.289389927316,ALL,summary,ALL,0.00343440389628,0.43275787545
0.0256806656999,0.581877024601,0.93896484375,1,0.972837109311,0.614001772656,0.451680896901,0.188049784496,0.682815559641,direction_family,128,128,O_CONTACT_FULL,2048,0.451680896901,ALL,summary,ALL,0.00666315241152,0.682815559641
0.0213327813386,0.354951010962,0.95166015625,2,0.805690924502,0.335661614535,0.234172386537,0.0782733659748,0.32095676326,direction_family,128,128,O_CONTACT_FULL,2048,0.234172386537,ALL,summary,ALL,0.00418899722103,0.32095676326
0.0240025092885,0.447839186601,0.94384765625,ALL,0.87441551027,0.445295075873,0.3206832389,0.120122311748,0.478679796211,pooled,128,128,O_PHASE_FULL,6144,0.3206832389,ALL,summary,ALL,0.00483067042082,0.478679796211
0.0240025092885,0.69027236411,0.879557291667,ALL,1.33154450336,0.456541506163,0.694677446405,0.105040359063,0.863558005558,task,128,128,O_PHASE_FULL,1536,0.694677446405,ALL,summary,bowl_on_plate,0.00423734249244,0.863558005558
0.0240025092885,0.388036642375,0.973958333333,ALL,1.29802908033,0.168884940484,0.225506965175,0.00202416869712,0.245738057187,task,128,128,O_PHASE_FULL,1536,0.225506965175,ALL,summary,plate_push,0.000217750219941,0.245738057187
0.0240025092885,0.405701165107,0.955078125,ALL,0.344359280557,1.01528459035,0,0.312455240269,0.35640671436,task,128,128,O_PHASE_FULL,1536,0,ALL,summary,stove_turn_on,0.00496074928957,0.35640671436
0.0240025092885,0.307346574812,0.966796875,ALL,0.523729176833,0.140469266499,0.362548544022,0.0609694789634,0.44901640774,task,128,128,O_PHASE_FULL,1536,0.362548544022,ALL,summary,wine_rack,0.00990683968135,0.44901640774
0.0251542106406,0.110952397135,1,ALL,0,1.58802292206e-07,1.42505936131e-29,1.40432391778e-31,0.554761826871,phase,128,128,O_PHASE_FULL,1536,1.42505936131e-29,free_space,summary,ALL,5.05961013827e-19,0.554761826871
0.0234095886372,0.595466733682,0.794921875,ALL,1.42213930383,0.462381089302,0.391993819428,0.132539644554,0.568279811295,phase,128,128,O_PHASE_FULL,1536,0.391993819428,pre_contact,summary,ALL,0.00133993753189,0.568279811295
0.0234909195127,0.542769811777,0.98046875,ALL,1.20513211303,0.568944437784,0.48990924782,0.0475951025907,0.402268157662,phase,128,128,O_PHASE_FULL,1536,0.48990924782,contact_onset,summary,ALL,0.00155089935989,0.402268157662
0.0239553183634,0.542167803809,1,ALL,0.870390624221,0.749854617605,0.400829888354,0.300354499848,0.389409389016,phase,128,128,O_PHASE_FULL,1536,0.400829888354,post_contact,summary,ALL,0.0164318447915,0.389409389016
0.0238833740447,0.411388780592,0.9365234375,0,0.852977425896,0.393704952814,0.288087458748,0.0926992309579,0.429474834546,direction_family,128,128,O_PHASE_FULL,2048,0.288087458748,ALL,summary,ALL,0.00369064943324,0.429474834546
0.0261220496601,0.576474127428,0.93994140625,1,0.961093437872,0.599704185985,0.442438977352,0.185206360372,0.693927675559,direction_family,128,128,O_PHASE_FULL,2048,0.442438977352,ALL,summary,ALL,0.00658601458248,0.693927675559
0.0220021041606,0.355654651782,0.955078125,2,0.809175667043,0.342476088821,0.231523280601,0.0824613439146,0.312636878528,direction_family,128,128,O_PHASE_FULL,2048,0.231523280601,ALL,summary,ALL,0.00421534724675,0.312636878528
