action_reconstruction_rmse,atlas_size,balanced_task_effect_error,candidate_distance_spearman,clipped,code_perplexity,contact_mode_preserved,context_modulation_norm,error_group_contact_mode_and_penetration,error_group_gripper_and_articulation,error_group_object_pose,error_group_task_progress_and_constraint,error_group_tcp_object_relative_pose,inference_latency_ms,intervention,joint_reversal_accuracy,kendall_tau,level,method,metric_condition_number,n,ndcg_at_16,normalized_code_utilization,object_pose_error,oracle_neighbor_recall_at_1,oracle_neighbor_recall_at_8,oracle_regret,pairs,pairwise_accuracy,phase,row_type,selected_code_change_fraction,side_accuracy,side_s1_accuracy,side_s2_accuracy,task_id,task_progress_abs_error,tcp_object_relative_pose_error,unique_codes,valid_bank_size
,,,0.932076588679,,,,5.83831366897,,,,,,0.0207923909556,,,0.784156201756,phase,CONTROL_CONTEXT_SHUFFLED__FULL,12.6958832145,1536,0.974388758517,,,0.494791666667,0.662434895833,0.00360474019715,,0.892078100878,free_space,,,,,,ALL,,,,
,,,0.489450534085,,,,5.78950017691,,,,,,0.0207923909556,,,0.352437596631,phase,CONTROL_CONTEXT_SHUFFLED__FULL,12.6222430468,1536,0.479281854355,,,0.12890625,0.263346354167,0.300954907225,,0.676218798315,pre_contact,,,,,,ALL,,,,
,,,0.505448466265,,,,6.01215422153,,,,,,0.0207923909556,,,0.368889543956,phase,CONTROL_CONTEXT_SHUFFLED__FULL,12.5399827957,1536,0.465241141558,,,0.137369791667,0.251790364583,0.289697538503,,0.684444771978,contact_onset,,,,,,ALL,,,,
,,,0.615600014901,,,,6.07107427716,,,,,,0.0207923909556,,,0.463276007879,phase,CONTROL_CONTEXT_SHUFFLED__FULL,12.548027277,1536,0.544094534045,,,0.137369791667,0.304931640625,0.228020723246,,0.73163800394,post_contact,,,,,,ALL,,,,
,,,0.00206961378441,,,,5.92776058614,,,,,,0.0207923909556,,,0.0198039382362,pooled,CONTROL_CONTEXT_SHUFFLED__K64,12.6015340835,6144,0.516596212382,,,0.1171875,0.208964029948,0.231188385781,,0.509901969118,ALL,,,,,,ALL,,,,
,,,-0.0017345567614,,,,5.96728876233,,,,,,0.0207923909556,,,0.0144028810022,task,CONTROL_CONTEXT_SHUFFLED__K64,12.5548682809,1536,0.40587483559,,,0.109375,0.179606119792,0.403244508439,,0.507201440501,ALL,,,,,,bowl_on_plate,,,,
,,,0.025100656057,,,,5.70856916904,,,,,,0.0207923909556,,,0.0394716796346,task,CONTROL_CONTEXT_SHUFFLED__K64,12.5984815359,1536,0.473246671681,,,0.118489583333,0.205891927083,0.202805260266,,0.519735839817,ALL,,,,,,plate_push,,,,
,,,-0.00389952832341,,,,6.01365497708,,,,,,0.0207923909556,,,0.0159737036337,task,CONTROL_CONTEXT_SHUFFLED__K64,12.6391065717,1536,0.556855945696,,,0.0970052083333,0.2216796875,0.169874731811,,0.507986851817,ALL,,,,,,stove_turn_on,,,,
,,,-0.0111881158345,,,,6.02152943611,,,,,,0.0207923909556,,,0.00936748867401,task,CONTROL_CONTEXT_SHUFFLED__K64,12.6136799455,1536,0.630407396561,,,0.143880208333,0.228678385417,0.148829042607,,0.504683744337,ALL,,,,,,wine_rack,,,,
,,,-0.0153563344461,,,,5.83831366897,,,,,,0.0207923909556,,,0.035706361379,phase,CONTROL_CONTEXT_SHUFFLED__K64,12.6958832145,1536,0.869803341318,,,0.21484375,0.290608723958,0.00991008747872,,0.517853180689,free_space,,,,,,ALL,,,,
,,,-0.0172001715337,,,,5.78950017691,,,,,,0.0207923909556,,,-0.00608803026439,phase,CONTROL_CONTEXT_SHUFFLED__K64,12.6222430468,1536,0.37189193737,,,0.0755208333333,0.169759114583,0.336842163794,,0.496955984868,pre_contact,,,,,,ALL,,,,
,,,-0.00194669296708,,,,6.01215422153,,,,,,0.0207923909556,,,0.00619101825679,phase,CONTROL_CONTEXT_SHUFFLED__K64,12.5399827957,1536,0.383757274374,,,0.0891927083333,0.1708984375,0.328206008019,,0.503095509128,contact_onset,,,,,,ALL,,,,
,,,0.0427816540845,,,,6.07107427716,,,,,,0.0207923909556,,,0.0434064035732,phase,CONTROL_CONTEXT_SHUFFLED__K64,12.548027277,1536,0.440932296465,,,0.0891927083333,0.20458984375,0.249795283832,,0.521703201787,post_contact,,,,,,ALL,,,,
,,,0.651543012206,,,,1.9643285647,,,,,,0.00771243625448,,,0.508607885231,pooled,CONTROL_CURRENT_CONTACT_ONLY__FULL,4.56583504379,6144,0.622700659217,,,0.23046875,0.382588704427,0.204189365942,,0.754303942616,ALL,,,,,,ALL,,,,
,,,0.538958569233,,,,0.859895020723,,,,,,0.00771243625448,,,0.4190739509,task,CONTROL_CURRENT_CONTACT_ONLY__FULL,1.75930422544,1536,0.496391344225,,,0.208984375,0.335530598958,0.367784280634,,0.70953697545,ALL,,,,,,bowl_on_plate,,,,
,,,0.685078588174,,,,1.63473248482,,,,,,0.00771243625448,,,0.537657141855,task,CONTROL_CURRENT_CONTACT_ONLY__FULL,3.38613545895,1536,0.582017447928,,,0.220052083333,0.367594401042,0.178092418124,,0.768828570928,ALL,,,,,,plate_push,,,,
,,,0.711506179128,,,,3.33411645889,,,,,,0.00771243625448,,,0.554882979794,task,CONTROL_CURRENT_CONTACT_ONLY__FULL,9.09062147141,1536,0.678401737576,,,0.20703125,0.401448567708,0.139438595375,,0.777441489897,ALL,,,,,,stove_turn_on,,,,
,,,0.670628712289,,,,2.02857029438,,,,,,0.00771243625448,,,0.522817468374,task,CONTROL_CURRENT_CONTACT_ONLY__FULL,4.02727901936,1536,0.73399210714,,,0.285807291667,0.42578125,0.131442169634,,0.761408734187,ALL,,,,,,wine_rack,,,,
,,,0.943750726635,,,,1.8828047961,,,,,,0.00771243625448,,,0.803831520408,phase,CONTROL_CURRENT_CONTACT_ONLY__FULL,4.42988023162,1536,0.976954001746,,,0.516927083333,0.675699869792,0.00324825132706,,0.901915760204,free_space,,,,,,ALL,,,,
,,,0.497886389541,,,,1.8828047961,,,,,,0.00771243625448,,,0.359166040626,phase,CONTROL_CURRENT_CONTACT_ONLY__FULL,4.42988023162,1536,0.48427244465,,,0.123697916667,0.26953125,0.300475638451,,0.679583020313,pre_contact,,,,,,ALL,,,,
,,,0.528349001236,,,,2.04585233331,,,,,,0.00771243625448,,,0.388555823286,phase,CONTROL_CURRENT_CONTACT_ONLY__FULL,4.70178985596,1536,0.472335163213,,,0.135416666667,0.263346354167,0.290508104043,,0.694277911643,contact_onset,,,,,,ALL,,,,
,,,0.636185931412,,,,2.04585233331,,,,,,0.00771243625448,,,0.482878156605,phase,CONTROL_CURRENT_CONTACT_ONLY__FULL,4.70178985596,1536,0.557241027261,,,0.145833333333,0.32177734375,0.222525469945,,0.741439078302,post_contact,,,,,,ALL,,,,
,,,0.0015197924688,,,,1.9643285647,,,,,,0.00771243625448,,,0.0212687001173,pooled,CONTROL_CURRENT_CONTACT_ONLY__K64,4.56583504379,6144,0.52381385935,,,0.12939453125,0.215067545573,0.220855594158,,0.510634350059,ALL,,,,,,ALL,,,,
,,,0.00225409718172,,,,0.859895020723,,,,,,0.00771243625448,,,0.0180006454515,task,CONTROL_CURRENT_CONTACT_ONLY__K64,1.75930422544,1536,0.416103329534,,,0.106119791667,0.18701171875,0.368764083662,,0.509000322726,ALL,,,,,,bowl_on_plate,,,,
,,,0.0153309388382,,,,1.63473248482,,,,,,0.00771243625448,,,0.0334531152253,task,CONTROL_CURRENT_CONTACT_ONLY__K64,3.38613545895,1536,0.47823281798,,,0.130208333333,0.201334635417,0.202152151014,,0.516726557613,ALL,,,,,,plate_push,,,,
,,,0.013649807902,,,,3.33411645889,,,,,,0.00771243625448,,,0.0319145261256,task,CONTROL_CURRENT_CONTACT_ONLY__K64,9.09062147141,1536,0.567666561857,,,0.126953125,0.242268880208,0.157849823031,,0.515957263063,ALL,,,,,,stove_turn_on,,,,
