action_reconstruction_rmse,alphabet_k,balanced_task_effect_error,clipped,code_perplexity,contact_mode_preserved,error_group_contact_mode_and_penetration,error_group_gripper_and_articulation,error_group_object_pose,error_group_task_progress_and_constraint,error_group_tcp_object_relative_pose,inference_latency_ms,level,method,n,normalized_code_utilization,object_pose_error,phase,split,task_id,task_progress_abs_error,tcp_object_relative_pose_error,unique_codes
0.0244048235191,32,0.187832400922,0,88.2194458289,0.979538690476,0.515827470405,0.14314390808,0.138007348605,0.0129529185325,0.129230358986,0,phase,O_true_effect_K32,5376,0.368607704746,0.138007348605,contact_onset,development,ALL,0.000672543643771,0.129230358986,240
0.0224571186834,32,0.0343131511205,0,10.0293636255,1,0,4.84722888007e-07,6.96045666929e-30,2.0205068613e-31,0.171565270879,0,phase,O_true_effect_K32,5376,0.184451567827,6.96045666929e-30,free_space,development,ALL,1.00159629268e-18,0.171565270879,83
0.0244504342703,32,0.183442813843,0,86.6843446654,0.998139880952,0.381990328523,0.227489574309,0.148817793449,0.0148348951947,0.144081477739,0,phase,O_true_effect_K32,5376,0.360616366745,0.148817793449,post_contact,development,ALL,0.00125829349429,0.144081477739,232
0.0243853829994,32,0.231883682124,0,92.0901731881,0.900297619048,0.65422980496,0.108699246324,0.127742370724,0.0161137570842,0.25263323153,0,phase,O_true_effect_K32,5376,0.380369876736,0.127742370724,pre_contact,development,ALL,0.000441142558989,0.25263323153,228
0.02305947684,128,0.339574151726,0,6.8363752978,0.947312127976,0.834965839358,0.31312337259,0.184378035477,0.0803753467787,0.285028164429,0,pooled,C5_NCER_AA_K128,21504,0.0506889445756,0.184378035477,ALL,development,ALL,0.00468029255026,0.285028164429,192
0.0228837615294,128,0.432210890291,0,10.3211080702,0.94494047619,1.06452889539,0.178158390413,0.340160388666,0.1286528514,0.449553925585,0,task,C5_NCER_AA_K128,5376,0.0591613564783,0.340160388666,ALL,development,bowl_on_plate,0.00617805934392,0.449553925585,150
0.024095302008,128,0.320594476164,0,1,0.986793154762,1.20196565514,0.145014190218,0.107761845714,0.00216258557596,0.14606810417,0,task,C5_NCER_AA_K128,5376,0.0078125,0.107761845714,ALL,development,plate_push,0.000247975416152,0.14606810417,1
0.0238876044966,128,0.303231093258,0,8.42441025306,0.928571428571,0.357856817028,0.821879173907,0,0.13582298726,0.200596488093,0,task,C5_NCER_AA_K128,5376,0.0525814235101,0,ALL,development,stove_turn_on,0.00255303810851,0.200596488093,141
0.0213712393261,128,0.302260147193,0,11.4178378581,0.928943452381,0.71551198987,0.107441735823,0.289589907527,0.0548629628785,0.343894139867,0,task,C5_NCER_AA_K128,5376,0.0832004983139,0.289589907527,ALL,development,wine_rack,0.00974209733248,0.343894139867,132
0.0239061075554,128,0.422776615587,0,1.33471820845,0.966517857143,1.16040278284,0.371956038686,0.272067095889,0.0434494141792,0.266007746335,0,phase,C5_NCER_AA_K128,5376,0.0168327853462,0.272067095889,contact_onset,development,ALL,0.00131501285642,0.266007746335,69
0.0220669266956,128,0.0542682110376,0,24.6507431096,1,0,1.24941455648e-06,5.15085076051e-30,1.59061178443e-31,0.271339805774,0,phase,C5_NCER_AA_K128,5376,0.0843453068477,5.15085076051e-30,free_space,development,ALL,5.88566893635e-19,0.271339805774,143
0.0239583587871,128,0.44725011967,0,1.14654548522,0.997209821429,0.942674090183,0.581601969389,0.242692843049,0.219310586883,0.249971108844,0,phase,C5_NCER_AA_K128,5376,0.00983687687203,0.242692843049,post_contact,development,ALL,0.0166296330349,0.249971108844,31
0.0223065143219,128,0.434001660612,0,15.2828525133,0.825520833333,1.23678648441,0.298934232871,0.222752202969,0.0587413860531,0.352793996762,0,phase,C5_NCER_AA_K128,5376,0.0917408092364,0.222752202969,pre_contact,development,ALL,0.000776524309762,0.352793996762,166
