candidate_distance_spearman,direction_family_id,inference_latency_ms,kendall_tau,level,method,n,ndcg_at_16,o1_baseline_gap_fraction_closed,oracle_neighbor_recall_at_1,oracle_neighbor_recall_at_8,oracle_regret,pairwise_accuracy,phase,split,task_id
0.585538244792,ALL,0.0717013328868,0.442529592233,task,C0_stage2_ncea_reproduction,1536,0.574483688268,-0.547874077029,0.152994791667,0.265218098958,0.25622213562,0.721264796116,ALL,development,stove_turn_on
0.56211076256,ALL,0.0866541935617,0.416025584985,task,C0_stage2_ncea_reproduction,1536,0.655914891347,-0.0613271496874,0.15234375,0.292805989583,0.184550166988,0.708012792493,ALL,development,wine_rack
0.399179316398,ALL,0.0563155477064,0.284411848227,phase,C0_stage2_ncea_reproduction,1536,0.3734085575,-0.274154230138,0.076171875,0.1572265625,0.430400533746,0.642205924113,contact_onset,development,ALL
0.897839892921,ALL,0.109201107635,0.726071187589,phase,C0_stage2_ncea_reproduction,1536,0.952978873998,-0.244585330896,0.383463541667,0.533854166667,0.0182525669731,0.863035593794,free_space,development,ALL
0.449196318416,ALL,0.0836021066056,0.319196362354,phase,C0_stage2_ncea_reproduction,1536,0.424876655359,-0.374453654344,0.0813802083333,0.173746744792,0.333963105977,0.659598181177,post_contact,development,ALL
0.399253656868,ALL,0.0616945872404,0.283338687542,phase,C0_stage2_ncea_reproduction,1536,0.373769890236,-0.0535228844547,0.0768229166667,0.158121744792,0.396592056403,0.641669343771,pre_contact,development,ALL
0.536882439798,0,0.077703337297,0.403326836202,direction_family,C0_stage2_ncea_reproduction,2048,0.526995151791,-0.192936468813,0.14892578125,0.234191894531,0.29937825117,0.701663418101,ALL,development,ALL
0.544580997063,1,0.077703337297,0.410612862354,direction_family,C0_stage2_ncea_reproduction,2048,0.53484439807,-0.169364877493,0.19287109375,0.295837402344,0.28047507404,0.705306431177,ALL,development,ALL
0.527638451591,2,0.077703337297,0.395823865728,direction_family,C0_stage2_ncea_reproduction,2048,0.531935932959,-0.279100079913,0.12158203125,0.237182617188,0.304552872114,0.697911932864,ALL,development,ALL
0.299977850971,ALL,0.077703337297,0.206394354852,pooled,C1_NC_VECTOR,6144,0.465967446123,-0.375052273799,0.0760091145833,0.151631673177,0.334096866908,0.603197177426,ALL,development,ALL
