balanced_prediction_error,contact_accuracy,effect_norm_spearman,level,mean_nrmse,mean_predicted_effect_norm,mean_true_effect_norm,method,mse,n,phase,predicted_to_true_norm_ratio,rmse,split,task_id,uncertainty_error_spearman
0.40511769347437204,0.8951822916666666,0.38591595953452196,task,1.0323572775322274,1.4052940964174923,5.504281343035051,P3_mode_shuffled_atlas,1.9703435849451676,1536,ALL,0.25530927814867393,1.4036892764943272,development,bowl_on_plate,0.5873932712155538
0.3163257381844699,0.9609375,0.2057795833871983,task,1.1147043179893081,1.054633670214874,5.445398946906472,P3_mode_shuffled_atlas,2.376569943118952,1536,ALL,0.19367427079222738,1.5416127734028906,development,plate_push,0.5653775412782208
0.36572759306061425,0.9029947916666666,0.39894371915127186,task,1.0258742775562422,0.6593709887141207,4.367578772038974,P3_mode_shuffled_atlas,1.042856065272104,1536,ALL,0.15096945541895695,1.0212032438609389,development,stove_turn_on,0.48667271572939486
0.548902158253909,0.7311197916666666,0.057963276635605125,task,3.2131116904997508,3.7819700522813946,5.625075812355294,P3_mode_shuffled_atlas,3.662497168190978,1536,ALL,0.6723411698691103,1.9137651810478156,development,wine_rack,0.6836580617832869
0.04492269491988544,1.0,0.49173004409156124,phase,0.9362573357022378,0.47555513117307174,1.988647388310725,P3_mode_shuffled_atlas,0.12091933188142352,1536,free_space,0.23913496880763588,0.34773457101850475,development,ALL,0.5265570892205087
0.4759665864090694,0.71875,0.24526143204325868,phase,1.0104151179567553,1.2135124552296475,6.188727355672161,P3_mode_shuffled_atlas,2.534743774734596,1536,pre_contact,0.19608432969945355,1.5920878665245193,development,ALL,0.5485027472454695
0.43546068177725167,0.9609375,-0.1880359320792864,phase,1.1944822647695073,1.339245650684461,6.311293918537867,P3_mode_shuffled_atlas,2.323642925863867,1536,contact_onset,0.2121982699539246,1.5243500011033775,development,ALL,-0.05111589214150838
0.6797232198671587,0.810546875,-0.2642539270205718,phase,3.244892845149028,3.8729555705407015,6.453666211815038,P3_mode_shuffled_atlas,4.072960729047317,1536,post_contact,0.6001171184605574,2.018157756233966,development,ALL,0.49461663741066636
0.3845394285435193,0.8714192708333334,0.31254551658517793,pooled,1.2173736249695126,0.9853730609465856,5.235583718583947,P4_state_shuffled_atlas,1.9197516452041283,6144,ALL,0.1882069152001062,1.385551025839225,development,ALL,0.5150722203918274
0.39342399801449907,0.890625,0.2246954962976228,task,0.9826800701172127,0.737590504087469,5.504281343035051,P4_state_shuffled_atlas,1.8505411399823266,1536,ALL,0.1340030529182149,1.3603459633425339,development,bowl_on_plate,0.4592356277245957
0.3432288604830667,0.9609375,0.2937159524879254,task,1.138217312854169,1.088322233738533,5.445398946906472,P4_state_shuffled_atlas,2.366262578047795,1536,ALL,0.1998608815166441,1.5382660946818645,development,plate_push,0.6279131053980108
0.3646949146968801,0.9029947916666666,0.42287846117696176,task,0.9956647896254246,0.3996226386273823,4.367578772038974,P4_state_shuffled_atlas,1.0392864241229436,1536,ALL,0.09149752288058247,1.0194539833278125,development,stove_turn_on,0.40695923265742523
0.43680994097963133,0.7311197916666666,0.14823311889780633,task,1.7529323272812434,1.7159568673329584,5.625075812355294,P4_state_shuffled_atlas,2.4229164386634485,1536,ALL,0.3050548871828386,1.5565720152512856,development,wine_rack,0.4781109485948389
0.04583966977430959,1.0,0.5630681815171481,phase,0.9318259440720634,0.34265326266177,1.988647388310725,P4_state_shuffled_atlas,0.12488273804689864,1536,free_space,0.1723046854238146,0.3533875182386874,development,ALL,0.4509062856965746
0.46810512250665,0.7141927083333334,0.25775345826295565,phase,0.9953273177529279,0.7575938642645875,6.188727355672161,P4_state_shuffled_atlas,2.433667340683025,1536,pre_contact,0.12241513007843675,1.560021583402943,development,ALL,0.3958375442928926
0.4593556702925903,0.9609375,-0.10362777375599405,phase,1.1661870036433495,1.0754475704937552,6.311293918537867,P4_state_shuffled_atlas,2.316990708407434,1536,contact_onset,0.1704004890874902,1.5221664522671081,development,ALL,0.03431933917229511
0.5648572516005274,0.810546875,-0.3147684378437203,phase,1.7761542344097088,1.7657975463662297,6.453666211815038,P4_state_shuffled_atlas,2.8034657936791554,1536,post_contact,0.27361153930358206,1.674355336742818,development,ALL,0.1029282765274295
0.35927038743438433,0.8720703125,0.28599998091425083,pooled,1.1256583704044538,0.6806824021950888,5.235583718583947,P5_effect_shuffled_atlas,1.88416094968754,6144,ALL,0.13001079512471075,1.3726474236625879,development,ALL,0.3803349930183385
0.396599497234817,0.8932291666666666,0.4124037781943335,task,1.0273821039530902,0.5307046550345452,5.504281343035051,P5_effect_shuffled_atlas,1.8661153042822327,1536,ALL,0.09641670219239114,1.3660583092541227,development,bowl_on_plate,0.4374127784995094
0.3092367016954704,0.9609375,0.18540778998599158,task,1.0664195730187715,0.7468046736321412,5.445398946906472,P5_effect_shuffled_atlas,2.335638093401511,1536,ALL,0.13714416168835536,1.528279455270374,development,plate_push,0.38088516344137396
0.37028801368873915,0.9029947916666666,0.333219093532525,task,1.0213828183217089,0.2995410464888361,4.367578772038974,P5_effect_shuffled_atlas,1.0557851544275707,1536,ALL,0.06858286069308772,1.027514065318607,development,stove_turn_on,0.3084889931367209
0.3609573371185107,0.7311197916666666,0.11119162625844634,task,1.3874489863242452,1.1456792336248327,5.625075812355294,P5_effect_shuffled_atlas,2.279105246638846,1536,ALL,0.2036735631381867,1.5096705755358837,development,wine_rack,0.27407084454955594
0.054200766856365636,1.0,0.015248281928499828,phase,1.0093157246748534,0.16812812431696025,1.988647388310725,P5_effect_shuffled_atlas,0.1494594146140229,1536,free_space,0.08454395953008957,0.38659981196842674,development,ALL,0.002629751419385876
0.4729782198386309,0.716796875,0.13292074539216164,phase,1.0207752530089733,0.7428662864258513,6.188727355672161,P5_effect_shuffled_atlas,2.4495561544273037,1536,pre_contact,0.12003538752518984,1.5651057965605084,development,ALL,0.17583748880743297
0.4193009874895102,0.9609375,-0.18398418873540612,phase,1.074598204447618,0.6911364677168118,6.311293918537867,P5_effect_shuffled_atlas,2.279647400926146,1536,contact_onset,0.10950788802384391,1.5098501253191146,development,ALL,-0.14386605029256622
0.4906015755530306,0.810546875,-0.24673024384457645,phase,1.3979442994863707,1.1205987303207319,6.453666211815038,P5_effect_shuffled_atlas,2.6579808287826885,1536,post_contact,0.17363754082434535,1.6303315088602957,development,ALL,-0.09422087200425344
1.2571008497319995,0.7353515625,0.322267375265605,pooled,40.609460722142195,67.35641067867833,5.235583718583947,P6_random_latent_atlas,1134.8556218892352,6144,ALL,12.86511959298705,33.68761822820419,development,ALL,0.7965202242455941
1.260928176139258,0.7057291666666666,0.4947218640790999,task,11.985193090832373,33.910259319486066,5.504281343035051,P6_random_latent_atlas,150.10680448504544,1536,ALL,6.16070604065235,12.251808212873945,development,bowl_on_plate,0.7398887531815649
