action_reconstruction_rmse,balanced_task_effect_error,baseline_error,baseline_method,best_error,best_method,control_error,control_method,dimension,episode_id,error_group_contact_mode_and_penetration,error_group_gripper_and_articulation,error_group_object_pose,error_group_task_progress_and_constraint,error_group_tcp_object_relative_pose,gain_retention,linear_extrapolation_nrmse,mean_antithetic_asymmetry,mean_log_radius_scaling_deviation,method,n,phase,reproduced_gain,row_type,split,task_id,value
,,0.3325983705199762,B2_phase_residual,0.3310918063219148,MC_NCEA,0.3373787862872662,P3_mode_shuffled_atlas,,,,,,,,0.0,,,,,,,False,,development,,
,,0.3325983705199762,B2_phase_residual,0.3310918063219148,MC_NCEA,0.3458086172646396,P4_state_shuffled_atlas,,,,,,,,0.0,,,,,,,False,,development,,
,,0.3325983705199762,B2_phase_residual,0.3310918063219148,MC_NCEA,0.4179532330478973,P5_effect_shuffled_atlas,,,,,,,,0.0,,,,,,,False,,development,,
,,0.3325983705199762,B2_phase_residual,0.3310918063219148,MC_NCEA,0.36531783433210313,P6_random_latent_atlas,,,,,,,,0.0,,,,,,,False,,development,,
0.019570600115414984,0.3156343376796861,,,,,,,task,,1.1251191965866891,0.10524252755331,0.16063648438389241,0.00791412403225424,0.17925935584228458,,,,,B3_dynamic_action_medoids,1536,,,quantization_decomposition,,,plate_push
0.01955117590022157,0.42129883714295807,,,,,,,task,,0.5271013913842549,1.069895465430658,0.0,0.2612816116570774,0.24821571724280012,,,,,B3_dynamic_action_medoids,1536,,,quantization_decomposition,,,stove_turn_on
0.019467022995047493,0.3662820896757304,,,,,,,task,,0.9431587730595868,0.0535354403471002,0.3329470578685076,0.018132102558770933,0.4836370745446866,,,,,B3_dynamic_action_medoids,1536,,,quantization_decomposition,,,wine_rack
0.019487470318901887,0.06037005312954468,,,,,,,phase,,0.0,1.819563812534965e-08,1.1101825579114921e-29,0.0,0.3018502474520853,,,,,B3_dynamic_action_medoids,1536,,,quantization_decomposition,,,free_space
0.019397829732642098,0.5228722175488708,,,,,,,phase,,1.4416852311659873,0.39105774091719714,0.23888363477349925,0.12012745535765046,0.42260702553002005,,,,,B3_dynamic_action_medoids,1536,,,quantization_decomposition,,,pre_contact
0.019595694376815104,0.4414695389245775,,,,,,,phase,,1.0739446213768402,0.4707562490025479,0.26322967887815846,0.1061524546459483,0.2932646907193926,,,,,B3_dynamic_action_medoids,1536,,,quantization_decomposition,,,contact_onset
0.01954701259972842,0.46590310697969967,,,,,,,phase,,0.9928507351642407,0.5693901398945539,0.2874371952301528,0.1972158597206227,0.2826216048889283,,,,,B3_dynamic_action_medoids,1536,,,quantization_decomposition,,,post_contact
0.019344418291085626,0.37259148819762133,,,,,,,direction_family,,0.8895679665821886,0.36004830809118865,0.19671589521024535,0.09949480922682406,0.31713046187765975,,,,,B3_dynamic_action_medoids,3072,,,quantization_decomposition,,,0
0.01877020091346065,0.39700897317439493,,,,,,,direction_family,,0.8837988717554719,0.3748098434385751,0.21833444067679353,0.11945887281010002,0.3886428371910342,,,,,B3_dynamic_action_medoids,1536,,,quantization_decomposition,,,1
0.020568969532455603,0.34842296701305503,,,,,,,direction_family,,0.8455457827872186,0.3362976883889846,0.17778427778452635,0.10504727846047328,0.2774398076440725,,,,,B3_dynamic_action_medoids,1536,,,quantization_decomposition,,,2
0.022346622586183806,0.39404120989235203,,,,,,,task,,0.9287254448501772,0.21353045865396303,0.3206287117717192,0.11268714918317939,0.3946342850027212,,,,,B4_state_action_vq,1536,,,quantization_decomposition,,,bowl_on_plate
0.024676329014548998,0.3965895063513547,,,,,,,task,,1.2604657799886285,0.17577713061731293,0.2544799692150255,0.008015765532027588,0.2842088864037793,,,,,B4_state_action_vq,1536,,,quantization_decomposition,,,plate_push
0.02311593112282913,0.4699941668130623,,,,,,,task,,0.5393943973279992,1.1365068572058272,0.0,0.3868406553708122,0.2872289241606726,,,,,B4_state_action_vq,1536,,,quantization_decomposition,,,stove_turn_on
0.023020610343215005,0.3821086604502333,,,,,,,task,,0.9553481837268952,0.06398804646357407,0.35679162194744535,0.015097303809723307,0.5193181463035287,,,,,B4_state_action_vq,1536,,,quantization_decomposition,,,wine_rack
0.022349255804404184,0.07360442543331758,,,,,,,phase,,0.0,2.50269940185249e-08,1.78180786133445e-29,0.0,0.3680221021395939,,,,,B4_state_action_vq,1536,,,quantization_decomposition,,,free_space
0.02191612906943864,0.5244308232116768,,,,,,,phase,,1.4909463233134377,0.3789987118939504,0.23066485973023018,0.10409021148411353,0.4174540096366517,,,,,B4_state_action_vq,1536,,,quantization_decomposition,,,pre_contact
0.024924180397511753,0.5244036328469278,,,,,,,phase,,1.158320160139089,0.5396872304213901,0.3743008685651468,0.17172190885247432,0.3779879962565387,,,,,B4_state_action_vq,1536,,,quantization_decomposition,,,contact_onset
0.02396992779542236,0.5202946620150802,,,,,,,phase,,1.034667322441173,0.6711165255983428,0.3269345746388131,0.2468287535591546,0.32192613383791757,,,,,B4_state_action_vq,1536,,,quantization_decomposition,,,post_contact
0.023568510780357488,0.41332525203565956,,,,,,,direction_family,,0.9176907602551809,0.40112879318251954,0.23665421289097122,0.13289116416362523,0.37826132968600107,,,,,B4_state_action_vq,3072,,,quantization_decomposition,,,0
0.02154025883985966,0.4314664495480384,,,,,,,direction_family,,0.9319989879990199,0.4190213338014635,0.25966387465207763,0.13988555118118037,0.40676250010645076,,,,,B4_state_action_vq,1536,,,quantization_decomposition,,,1
0.0244822126662023,0.38461658988764474,,,,,,,direction_family,,0.9165532973843181,0.36852357277417475,0.19892800250017004,0.11697299438731168,0.32210508239224894,,,,,B4_state_action_vq,1536,,,quantization_decomposition,,,2
0.022419754841168246,0.3494311259513257,,,,,,,task,,0.8786214804463278,0.19463923891059656,0.26321211389864824,0.10503699599717914,0.3056458005038772,,,,,MC_NCEA,1536,,,quantization_decomposition,,,bowl_on_plate
0.022852793483808947,0.292294968823321,,,,,,,task,,1.1136938143887978,0.11552502418775457,0.10653106679869744,0.009488143954096728,0.11623679478725842,,,,,MC_NCEA,1536,,,quantization_decomposition,,,plate_push
