B2_error,C3_FULL_error,C3_K64_error,C5_error,O_FULL_error,O_K64_error,c4_override_loss,consequence_group,direction_family_id,learned_compression_loss,learned_metric_loss,level,n_targets,oracle_bank_compression_loss,phase,split,task_id
1.03957303974,0.85471442283,0.997129517449,1.13157604281,0.0540321203763,0.502104941744,0.134446525357,contact_mode_and_penetration,ALL,0.142415094619,0.800682302453,phase,1536,0.448072821368,contact_onset,DEVELOPMENT_EPISODES_36_39,ALL
0.391034893117,0.263719102804,0.326575005886,0.491082682064,0.0414271123613,0.142315780948,0.164507676177,gripper_and_articulation,ALL,0.0628559030829,0.222291990442,phase,1536,0.100888668587,contact_onset,DEVELOPMENT_EPISODES_36_39,ALL
0.0246839774363,0.0141911537181,0.0257459138148,0.0326966448183,0.00508345127226,0.00988146486477,0.00695073100354,task_progress_and_constraint,ALL,0.0115547600967,0.00910770244588,phase,1536,0.00479801359251,contact_onset,DEVELOPMENT_EPISODES_36_39,ALL
0.0336724329466,0.0111321436318,0.0241211632655,0.055894051728,0.00945558227794,0.0229072645016,0.0317728884625,BALANCED_TASK_EFFECT,ALL,0.0129890196336,0.0016765613539,phase,1536,0.0134516822237,free_space,DEVELOPMENT_EPISODES_36_39,ALL
1.12896938896e-29,1.26408677193e-29,1.62070836104e-29,9.08524227544e-30,1.28765764189e-29,1.54899899354e-29,-7.12184133498e-30,object_pose,ALL,3.5662158911e-30,-2.35708699527e-31,phase,1536,2.6134135165e-30,free_space,DEVELOPMENT_EPISODES_36_39,ALL
0.168362126898,0.0556605968446,0.120605686744,0.279470127749,0.0472777595084,0.114536230338,0.158864441004,tcp_object_relative_pose,ALL,0.0649450898996,0.0083828373362,phase,1536,0.0672584708299,free_space,DEVELOPMENT_EPISODES_36_39,ALL
0,0,0,0,0,0,0,contact_mode_and_penetration,ALL,0,0,phase,1536,0,free_space,DEVELOPMENT_EPISODES_36_39,ALL
3.78348632606e-08,1.21314554751e-07,1.29583153226e-07,1.30891259427e-07,1.51881253e-07,9.21698867979e-08,1.30810620147e-09,gripper_and_articulation,ALL,8.26859847501e-09,-3.05666982498e-08,phase,1536,-5.97113662024e-08,free_space,DEVELOPMENT_EPISODES_36_39,ALL
1.0030885127e-31,1.40432391778e-31,1.0030885127e-31,1.0030885127e-31,1.20370621524e-31,1.80555932286e-31,0,task_progress_and_constraint,ALL,-4.01235405081e-32,2.0061770254e-32,phase,1536,6.01853107621e-32,free_space,DEVELOPMENT_EPISODES_36_39,ALL
0.361346303179,0.238260935529,0.283375992421,0.449324349008,0.0403971872263,0.143811657657,0.165948356587,BALANCED_TASK_EFFECT,ALL,0.0451150568917,0.197863748303,phase,1536,0.103414470431,post_contact,DEVELOPMENT_EPISODES_36_39,ALL
0.187125465476,0.134933348652,0.181585982126,0.288433545578,0.0573717066068,0.101592691447,0.106847563452,object_pose,ALL,0.0466526334744,0.0775616420447,phase,1536,0.0442209848403,post_contact,DEVELOPMENT_EPISODES_36_39,ALL
0.188577286107,0.138635765757,0.190711728806,0.293557393736,0.061624698284,0.106902953971,0.10284566493,tcp_object_relative_pose,ALL,0.052075963049,0.077011067473,phase,1536,0.0452782556869,post_contact,DEVELOPMENT_EPISODES_36_39,ALL
0.734903069737,0.599540314582,0.653057880645,0.879516405711,0.0538476341074,0.354452439605,0.226458525066,contact_mode_and_penetration,ALL,0.0535175660626,0.545692680475,phase,1536,0.300604805497,post_contact,DEVELOPMENT_EPISODES_36_39,ALL
0.517132399781,0.185323057573,0.258382673544,0.599398729972,0.0214814610972,0.142838811962,0.341016056427,gripper_and_articulation,ALL,0.073059615971,0.163841596476,phase,1536,0.121357350865,post_contact,DEVELOPMENT_EPISODES_36_39,ALL
0.178993294793,0.132872191082,0.133141696984,0.185715670043,0.00766043603601,0.0132713913025,0.052573973059,task_progress_and_constraint,ALL,0.00026950590154,0.125211755046,phase,1536,0.00561095526647,post_contact,DEVELOPMENT_EPISODES_36_39,ALL
0.437273690206,0.352429458908,0.439987236862,0.50085676036,0.0635435336399,0.207157817634,0.0608695234988,BALANCED_TASK_EFFECT,ALL,0.0875577779535,0.288885925268,phase,1536,0.143614283994,pre_contact,DEVELOPMENT_EPISODES_36_39,ALL
0.276524034384,0.229931083349,0.26604869528,0.30249139009,0.0804026271703,0.125124377115,0.0364426948094,object_pose,ALL,0.0361176119313,0.149528456179,phase,1536,0.0447217499444,pre_contact,DEVELOPMENT_EPISODES_36_39,ALL
