evidence_set,task_id,phase,method,n,settled_effect_error_mean,immediate_effect_error_mean,contact_mode_preservation,task_progress_preservation_005,task_progress_mae,action_reconstruction_error_mean,codebook_utilization,assignment_normalized_entropy,normalized_codebook_perplexity,dead_code_ratio,clipped_coordinate_rate,infeasible_assignment_rate,infeasible_token_rate,solver_latency_ms_mean
old_test_internal_screen,plate_push,contact_onset,M5_phase_residual_kmeans,192,5.439785207223688e-06,5.866385640883818e-06,1.0,1.0,1.4228191740391315e-12,1.0097878190025361e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,contact_onset,M6_permuted_j_reca,192,66.25110477378685,77.70266653973516,1.0,1.0,3.0995063419884514e-05,0.02871079458575237,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.015625,8.2015796720043
old_test_internal_screen,plate_push,contact_onset,M7_random_spd_constrained,192,61.58064215157134,51.97450880820261,1.0,1.0,2.588527714630431e-05,0.02094340072896414,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0,0.26863867583415413
old_test_internal_screen,plate_push,contact_onset,O1_true_effect_oracle,192,24.88302396352789,43.59055633830726,1.0,1.0,1.3322421925208866e-05,0.018090935991462418,0.8541666666666666,0.9026844869610485,0.6861027285097804,0.14583333333333337,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,contact_onset,O2_linear_j_oracle,192,25.408959356641216,43.53670009708488,1.0,1.0,1.2956664610346542e-05,0.017302463118475834,0.7916666666666666,0.8931460935264582,0.6612303909549316,0.20833333333333337,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,free_space,M0_frozen_caaa_v2,192,203.74139448707783,283.42231614172164,1.0,1.0,0.0,1.0990679197294522,0.015625,-0.0,0.015625,0.984375,1.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,free_space,M1_covariance_mahalanobis,192,21.671649746826933,13.446696404769957,1.0,1.0,0.0,0.0375714498756781,0.03125,0.1647832347147496,0.031006175765908056,0.96875,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,free_space,M2_centered_covariance_residual,192,6.911834849481472e-13,2.5046543918694967e-13,1.0,1.0,0.0,5.606203474406476e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,free_space,M3_cara,192,9.214528376495025,15.010866995794006,1.0,1.0,0.0,0.05881099479438795,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,free_space,M4_reca,192,9.193338630136028,7.288917924267277,1.0,1.0,0.0,0.028711516665913983,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.015625,7.30128229292859
old_test_internal_screen,plate_push,free_space,M5_phase_residual_kmeans,192,2.7737734537474035e-13,1.1914770484358514e-13,1.0,1.0,0.0,9.978440701928003e-18,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,free_space,M6_permuted_j_reca,192,9.220350182760788,7.315439526567182,1.0,1.0,0.0,0.028711516665913983,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.015625,7.22663200781426
old_test_internal_screen,plate_push,free_space,M7_random_spd_constrained,192,13.107753065633503,7.739990996151779,1.0,1.0,0.0,0.028711803684810296,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.03125,1.491611015808303
old_test_internal_screen,plate_push,free_space,O1_true_effect_oracle,192,4.446713190756596,3.2598916372775206,1.0,1.0,0.0,0.012374507662309684,0.8333333333333334,0.9410049708250507,0.7958205035805775,0.16666666666666663,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,free_space,O2_linear_j_oracle,192,4.446978022441088,3.2426730732509506,1.0,1.0,0.0,0.012308801589560802,0.8333333333333334,0.9403159227496528,0.7937005259840998,0.16666666666666663,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,post_contact,M0_frozen_caaa_v2,192,2032.792880774951,1441.7559590622552,0.5,1.0,0.009958415349007918,1.1138821184239729,0.015625,-0.0,0.015625,0.984375,1.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,post_contact,M1_covariance_mahalanobis,192,1151.251584467172,935.2799298329077,0.5885416666666666,1.0,0.006640510212889462,0.18406581206251868,0.09375,0.36189999378554444,0.07038442181530492,0.90625,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,post_contact,M2_centered_covariance_residual,192,5.3480004954417345e-06,5.136895223757819e-06,1.0,1.0,9.961447754632443e-12,5.636326547470502e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,post_contact,M3_cara,192,168.21478757875474,115.09969559087476,1.0,1.0,0.0011470869880528753,0.022790582800542802,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0,0.0
