evidence_set,scope,method,baseline,baseline_error,method_error,relative_improvement,gain_retention_vs_reca,clipped_coordinate_rate,action_reconstruction_error,infeasible_token_rate,internal_screen_pass
old_test_internal_screen,plate_push,M6_permuted_j_reca,M1_covariance_mahalanobis,429.8537001721659,80.02753731768509,0.8138261057526496,0.9934272361321814,0.0,0.0287112067443967,0.01171875,
old_test_internal_screen,plate_push,M7_random_spd_constrained,M1_covariance_mahalanobis,429.8537001721659,73.67390908538974,0.8286070143030485,1.01147010428909,0.0,0.02280284531421924,0.009765625,
old_test_internal_screen,plate_push,O1_true_effect_oracle,M1_covariance_mahalanobis,429.8537001721659,33.287854925100866,0.9225600363291782,1.1261573702024443,0.0,0.016399004618178708,0.0,
old_test_internal_screen,plate_push,O2_linear_j_oracle,M1_covariance_mahalanobis,429.8537001721659,36.52601177985834,0.9150268759691289,1.1169617366107902,0.0,0.01546269308150714,0.0,
old_test_internal_screen,stove_turn_on,M0_frozen_caaa_v2,M1_covariance_mahalanobis,522.2772567573882,2790.8660733953816,-4.343648488013359,-5.363798921588786,0.4229058159722222,0.6827983291855624,0.0,
old_test_internal_screen,stove_turn_on,M2_centered_covariance_residual,M1_covariance_mahalanobis,522.2772567573882,2.5161329061627735,0.9951823808645538,1.2289111782401296,0.0,5.365391014936616e-17,0.0,False
old_test_internal_screen,stove_turn_on,M3_cara,M1_covariance_mahalanobis,522.2772567573882,105.57733767707577,0.7978519334106878,0.9852356496676565,0.0,0.028241030430530268,0.0,False
old_test_internal_screen,stove_turn_on,M4_reca,M1_covariance_mahalanobis,522.2772567573882,99.33283810904227,0.8098082257577893,1.0,0.0,0.02870709740724782,0.015625,False
old_test_internal_screen,stove_turn_on,M5_phase_residual_kmeans,M1_covariance_mahalanobis,522.2772567573882,2.483550151315316,0.995244766799277,1.2289882161519943,0.0,1.099590201324685e-17,0.0,False
old_test_internal_screen,stove_turn_on,M6_permuted_j_reca,M1_covariance_mahalanobis,522.2772567573882,109.5219391265739,0.790299237216355,0.9759091252460685,0.0,0.028707097407247816,0.015625,
old_test_internal_screen,stove_turn_on,M7_random_spd_constrained,M1_covariance_mahalanobis,522.2772567573882,105.48915663698881,0.7980207729282929,0.9854441428790548,0.0,0.024863106044734632,0.01171875,
old_test_internal_screen,stove_turn_on,O1_true_effect_oracle,M1_covariance_mahalanobis,522.2772567573882,25.316330526532386,0.9515270286060101,1.1750029183954083,0.0,0.01965533299417419,0.0,
old_test_internal_screen,stove_turn_on,O2_linear_j_oracle,M1_covariance_mahalanobis,522.2772567573882,57.88640197321939,0.8891653786867668,1.0979949948701964,0.0,0.01878084975532568,0.0,
old_test_internal_screen,wine_rack,M0_frozen_caaa_v2,M1_covariance_mahalanobis,200979.10186568854,254794.97201470193,-0.2677684876160794,-0.3890157362432195,0.3752712673611111,0.5505534760522343,0.0,
